deploymentID,locationID,latitude,longitude,deploymentStart,deploymentEnd,cameraID,cameraModel,coordinateUncertainty,cameraHeight,cameraHeading,baitUse,habitatType,deploymentTags,deploymentComments
artis_27_wildlifecamera1,,52.364714,4.918863,2021-10-04T12:00:00+0200Z,2023-12-07T12:32:00+0100Z,SY2103000161,SnyperCommander4G-SY4.0CG-Rtimelapsecamera,7.521,0.2,180.0,False,,,
artis_22_wildlifecamera1,,52.366402,4.916040,2021-08-19T16:38:00+0200Z,2022-12-31T00:00:00+0100Z,SY2103000164,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.34049999999999997,0.2,90.0,False,,,
artis_18_wildlifecamera1,,52.365167,4.918036,2021-08-20T15:53:00+0200Z,2024-01-15T22:08:18+0100Z,SY2103000168,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.7012,0.2,45.0,False,,,
artis_24_wildlifecamera1,,52.365634,4.916194,2021-08-20T15:28:00+0200Z,2023-12-07T12:35:00+0100Z,SY2103000169,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.46130000000000004,0.2,315.0,False,,,
artis_20_wildlifecamera1,,52.367182,4.914594,2021-08-21T05:49:00+0200Z,2022-12-06T12:05:00+0100Z,SY2103000170,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.1966,0.2,90.0,False,,,
artis_15_wildlifecamera1,,52.365588,4.919706,2021-08-20T14:14:00+0200Z,2022-10-03T12:01:00+0200Z,SY2103000182,SnyperCommander4G-SY4.0CG-Rwildlifecamera,2.1186000000000003,0.2,45.0,False,,,
artis_25_wildlifecamera1,,52.365682,4.919500,2021-08-20T12:11:00+0200Z,2022-09-04T12:05:00+0200Z,SY2103000184,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.1188,0.2,180.0,False,,,
artis_19_wildlifecamera1,,52.366439,4.914496,2021-08-20T18:46:00+0200Z,2023-12-07T15:00:00+0100Z,SY2103000186,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.0002,0.2,45.0,False,,,
artis_26_wildlifecamera1,,52.366887,4.913344,2021-10-04T12:00:00+0200Z,2023-12-07T15:32:00+0100Z,SY2103000188,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.0002,0.2,270.0,False,,,
artis_16_wildlifecamera1,,52.364566,4.919744,2021-08-21T06:26:00+0200Z,2023-04-25T14:00:00+0200Z,SY2103000213,SnyperCommander4G-SY4.0CG-Rtimelapsecamera,0.2481,0.2,90.0,False,,,
artis_21_wildlifecamera1,,52.367052,4.914529,2021-09-16T06:24:00+0200Z,2022-12-06T12:20:00+0100Z,SY2103000258,SnyperCommander4G-SY4.0CG-Rtimelapsecamera,0.958,0.2,90.0,False,,,
artis_23_wildlifecamera1,,52.365848,4.918097,2021-08-19T16:45:00+0200Z,2022-02-03T14:33:18+0100Z,SY2103000201,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.0001,0.2,225.0,False,,,
artis_17_wildlifecamera1,,52.365119,4.918161,2021-08-20T15:47:00+0200Z,2022-03-23T15:52:13+0100Z,SY2103000172,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.6664,0.2,180.0,False,,,
artis_6_wildlifecamera1,,52.367182,4.914594,2021-10-04T12:00:00+0200Z,2022-05-24T12:00:18+0200Z,SY2103000166,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.1966,1.72,90.0,False,,,
artis_11_wildlifecamera1,,52.366400,4.915911,2021-08-20T16:20:00+0200Z,2022-05-24T12:00:16+0200Z,SY2103000180,SnyperCommander4G-SY4.0CG-Rwildlifecamera,0.5263,0.2,135.0,False,,,
artis_23_30112022_wildlifecamera1,,52.365766,4.918133,2022-11-30T12:30:00+0100Z,2023-11-27T12:37:00+0100Z,SY2103000166,SnyperCommander4G-SY4.0CG-Rwildlifecamera,,0.2,90.0,False,,,
artis_28_30112022_wildlifecamera1,,52.365409,4.919653,2022-11-30T13:00:00+0100Z,2023-12-07T12:32:00+0100Z,SY2103000172,SnyperCommander4G-SY4.0CG-Rwildlifecamera,,0.2,45.0,False,,,
artis_14_06122022_wildlifecamera1,,52.364855,4.920380,2022-12-06T11:20:00+0100Z,2023-04-25T14:00:00+0200Z,SY2103000182,SnyperCommander4G-SY4.0CG-Rwildlifecamera,,0.2,45.0,False,,,
artis_13_06122022_wildlifecamera1,,52.365833,4.914444,2022-12-06T12:30:00+0100Z,2023-12-07T14:55:00+0100Z,SY2103000258,SnyperCommander4G-SY4.0CG-Rtimelapsecamera,,0.2,90.0,False,,,
artis_20_06122022_wildlifecamera1,,52.366944,4.914444,2022-12-06T14:10:00+0100Z,2023-03-15T15:59:00+0100Z,SY2103000170,SnyperCommander4G-SY4.0CG-Rwildlifecamera,,0.2,0.0,False,,,
artis_20_03272023_wildlifecamera1,,52.367190,4.914559,2023-03-27T01:00:00+0200Z,2023-12-07T12:40:00+0100Z,SY2103000170,SnyperCommander4G-SY4.0CG-Rwildlifecamera,,,,False,,,
