Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,50,5000,140,1,140,1
2,4,50,5000,140,1,140,1
3,4,50,5000,140,1,140,1
4,4,50,5000,140,1,140,1
5,4,50,5000,140,1,140,1
6,4,50,5000,140,1,140,1
7,4,50,5000,140,1,140,1
8,4,50,5000,140,1,140,1
9,4,50,5000,140,1,140,1
10,4,50,5000,140,1,140,1
11,4,50,5000,140,1,140,1
12,4,50,5000,140,1,140,1
13,4,50,5000,140,1,140,1
14,4,50,5000,140,1,140,1
15,4,50,5000,140,1,140,1
16,4,50,5000,140,1,140,1
17,4,50,5000,140,1,140,1
18,4,50,5000,140,1,140,1
19,4,50,5000,140,1,140,1
20,4,50,5000,140,1,140,1
21,4,50,5000,140,1,140,1
22,4,50,5000,140,1,140,1
23,4,50,5000,140,1,140,1
24,4,50,5000,140,1,140,1
25,4,50,5000,140,1,140,1
26,4,50,5000,140,1,140,1
27,4,50,5000,140,1,140,1
28,4,50,5000,140,1,140,1
29,4,50,5000,140,1,140,1
30,4,50,5000,140,1,140,1
31,4,50,5000,140,1,140,1
32,4,50,5000,140,1,140,1
33,4,50,5000,140,1,140,1
34,4,50,5000,140,1,140,1
35,4,50,5000,140,1,140,1
36,4,50,5000,140,1,140,1
37,4,50,5000,140,1,140,1
38,4,50,5000,140,1,140,1
39,4,50,5000,140,1,140,1
40,4,50,5000,140,1,140,1
41,4,50,5000,140,1,140,1
42,4,50,5000,140,1,140,1
43,4,50,5000,140,1,140,1
44,4,50,5000,140,1,140,1
45,4,50,5000,140,1,140,1
46,4,50,5000,140,1,140,1
47,4,50,5000,140,1,140,1
48,4,50,5000,140,1,140,1
49,4,50,5000,140,1,140,1
50,4,50,5000,140,1,140,1
51,4,50,5000,140,1,140,1
52,4,50,5000,140,1,140,1
53,4,50,5000,140,1,140,1
54,4,50,5000,140,1,140,1
55,4,50,5000,140,1,140,1
56,4,50,5000,140,1,140,1
57,4,50,5000,140,1,140,1
58,4,50,5000,140,1,140,1
59,4,50,5000,140,1,140,1
60,4,50,5000,140,1,140,1
61,4,50,5000,98,0.75,140,1
62,4,50,5000,140,1,140,1
63,4,50,5000,140,1,140,1
64,4,50,5000,140,1,140,1
65,4,50,5000,140,1,140,1
66,4,50,5000,140,1,140,1
67,4,50,5000,140,1,140,1
68,4,50,5000,140,1,140,1
69,4,50,5000,140,1,140,1
70,4,50,5000,140,1,140,1
71,4,50,5000,140,1,140,1
72,4,50,5000,140,1,140,1
73,4,50,5000,140,1,140,1
74,4,50,5000,140,1,140,1
75,4,50,5000,140,1,140,1
76,4,50,5000,140,1,140,1
77,4,50,5000,140,1,140,1
78,4,50,5000,140,1,140,1
79,4,50,5000,140,1,140,1
80,4,50,5000,140,1,140,1
81,4,50,5000,140,1,140,1
82,4,50,5000,140,1,140,1
83,4,50,5000,140,1,140,1
84,4,50,5000,140,1,140,1
85,4,50,5000,140,1,140,1
86,4,50,5000,140,1,140,1
87,4,50,5000,140,1,140,1
88,4,50,5000,140,1,140,1
89,4,50,5000,140,1,140,1
90,4,50,5000,140,1,140,1
91,4,50,5000,140,1,140,1
92,4,50,5000,140,1,140,1
93,4,50,5000,140,1,140,1
94,4,50,5000,140,1,140,1
95,4,50,5000,140,1,140,1
96,4,50,5000,140,1,140,1
97,4,50,5000,140,1,140,1
98,4,50,5000,140,1,140,1
99,4,50,5000,140,1,140,1
100,4,50,5000,140,1,140,1
