Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,5,10000,7,1,7,1
2,4,5,10000,7,0.9567307692307693,7,0.8269230769230769
3,4,5,10000,7,0.9519230769230769,7,0.8076923076923077
4,4,5,10000,7,1,7,1
5,4,5,10000,7,0.7163461538461539,14,1
6,4,5,10000,7,0.9423076923076923,7,0.8076923076923077
7,4,5,10000,7,1,7,1
8,4,5,10000,7,0.9855769230769231,7,0.9423076923076923
9,4,5,10000,7,1,7,1
10,4,5,10000,7,0.9615384615384616,7,0.8846153846153846
11,4,5,10000,7,1,7,1
12,4,5,10000,7,0.9759615384615384,7,0.9038461538461539
13,4,5,10000,7,0.9663461538461539,7,0.8653846153846154
14,4,5,10000,7,0.9951923076923077,7,0.9807692307692307
15,4,5,10000,14,1,14,1
16,4,5,10000,7,0.875,7,0.6346153846153846
17,4,5,10000,7,1,7,1
18,4,5,10000,7,0.9278846153846154,7,0.75
19,4,5,10000,7,0.9951923076923077,7,0.9807692307692307
20,4,5,10000,7,1,7,1
21,4,5,10000,7,0.9182692307692307,7,0.75
22,4,5,10000,7,0.9663461538461539,7,0.8653846153846154
23,4,5,10000,7,0.9086538461538461,7,0.7307692307692307
24,4,5,10000,7,0.9519230769230769,7,0.8269230769230769
25,4,5,10000,7,1,7,1
26,4,5,10000,7,0.9423076923076923,7,0.7884615384615384
27,4,5,10000,7,0.8701923076923077,7,0.5961538461538461
28,4,5,10000,7,0.9375,7,0.7692307692307693
29,4,5,10000,7,1,7,1
30,4,5,10000,7,1,7,1
31,4,5,10000,7,1,7,1
32,4,5,10000,7,1,7,1
33,4,5,10000,7,0.9951923076923077,7,0.9807692307692307
34,4,5,10000,7,0.9663461538461539,7,0.8846153846153846
35,4,5,10000,7,1,7,1
36,4,5,10000,7,1,7,1
37,4,5,10000,7,1,7,1
38,4,5,10000,7,1,7,1
39,4,5,10000,7,0.9903846153846154,7,0.9615384615384616
40,4,5,10000,7,1,7,1
41,4,5,10000,7,1,7,1
42,4,5,10000,7,1,7,1
43,4,5,10000,7,0.8173076923076923,7,0.5384615384615384
44,4,5,10000,7,1,7,1
45,4,5,10000,7,0.9567307692307693,7,0.8269230769230769
46,4,5,10000,7,0.9230769230769231,7,0.75
47,4,5,10000,7,0.9567307692307693,7,0.8269230769230769
48,4,5,10000,7,1,7,1
49,4,5,10000,7,0.9711538461538461,7,0.8846153846153846
50,4,5,10000,7,1,7,1
51,4,5,10000,7,1,7,1
52,4,5,10000,7,0.9903846153846154,7,0.9615384615384616
53,4,5,10000,7,0.9711538461538461,7,0.8846153846153846
54,4,5,10000,7,0.9567307692307693,7,0.8269230769230769
55,4,5,10000,7,1,7,1
56,4,5,10000,7,1,7,1
57,4,5,10000,7,1,7,1
58,4,5,10000,7,0.9903846153846154,7,0.9615384615384616
59,4,5,10000,7,1,7,1
60,4,5,10000,7,0.9711538461538461,7,0.9038461538461539
61,4,5,10000,7,1,7,1
62,4,5,10000,7,1,7,1
63,4,5,10000,7,1,7,1
64,4,5,10000,7,1,7,1
65,4,5,10000,7,0.9903846153846154,7,0.9615384615384616
66,4,5,10000,7,1,7,1
67,4,5,10000,7,0.9951923076923077,7,0.9807692307692307
68,4,5,10000,7,1,7,1
69,4,5,10000,7,1,7,1
70,4,5,10000,7,1,7,1
71,4,5,10000,7,0.9855769230769231,7,0.9423076923076923
72,4,5,10000,7,1,7,1
73,4,5,10000,7,1,7,1
74,4,5,10000,7,1,7,1
75,4,5,10000,7,1,7,1
76,4,5,10000,7,1,7,1
77,4,5,10000,7,0.9903846153846154,7,0.9615384615384616
78,4,5,10000,7,0.6923076923076923,14,1
79,4,5,10000,7,1,7,1
80,4,5,10000,7,1,7,1
81,4,5,10000,7,0.9855769230769231,7,0.9423076923076923
82,4,5,10000,7,0.9807692307692307,7,0.9230769230769231
83,4,5,10000,7,1,7,1
84,4,5,10000,7,0.8990384615384616,7,0.6730769230769231
85,4,5,10000,7,0.9278846153846154,7,0.75
86,4,5,10000,7,0.9855769230769231,7,0.9423076923076923
87,4,5,10000,7,1,7,1
88,4,5,10000,7,0.8269230769230769,14,1
89,4,5,10000,7,0.9567307692307693,7,0.8461538461538461
90,4,5,10000,7,1,7,1
91,4,5,10000,7,0.5048076923076923,14,1
92,4,5,10000,7,1,7,1
93,4,5,10000,7,1,7,1
94,4,5,10000,7,1,7,1
95,4,5,10000,7,0.9903846153846154,7,0.9615384615384616
96,4,5,10000,7,1,7,1
97,4,5,10000,7,1,7,1
98,4,5,10000,7,0.9423076923076923,7,0.7884615384615384
99,4,5,10000,7,0.5817307692307693,14,1
100,4,5,10000,7,0.9855769230769231,7,0.9423076923076923
