Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,30,1000,140,1,140,1
2,4,30,1000,140,1,140,1
3,4,30,1000,140,1,140,1
4,4,30,1000,140,1,140,1
5,4,30,1000,140,1,140,1
6,4,30,1000,7,0,7,0
7,4,30,1000,140,1,140,1
8,4,30,1000,140,1,140,1
9,4,30,1000,140,1,140,1
10,4,30,1000,140,0.875,140,0.5
11,4,30,1000,140,1,140,1
12,4,30,1000,140,1,140,1
13,4,30,1000,140,1,140,1
14,4,30,1000,140,1,140,1
15,4,30,1000,140,0.875,140,0.5
16,4,30,1000,140,1,140,1
17,4,30,1000,140,1,140,1
18,4,30,1000,140,1,140,1
19,4,30,1000,140,0.875,140,0.5
20,4,30,1000,140,1,140,1
21,4,30,1000,140,1,140,1
22,4,30,1000,140,1,140,1
23,4,30,1000,140,1,140,1
24,4,30,1000,140,1,140,1
25,4,30,1000,140,0.375,7,0
26,4,30,1000,140,1,140,1
27,4,30,1000,140,1,140,1
28,4,30,1000,140,1,140,1
29,4,30,1000,140,0.375,7,0
30,4,30,1000,140,0.875,140,0.5
31,4,30,1000,140,1,140,1
32,4,30,1000,140,1,140,1
33,4,30,1000,140,1,140,1
34,4,30,1000,140,1,140,1
35,4,30,1000,140,1,140,1
36,4,30,1000,140,1,140,1
37,4,30,1000,140,1,140,1
38,4,30,1000,140,0.875,140,0.5
39,4,30,1000,140,0.5,7,0
40,4,30,1000,140,0.75,7,0
41,4,30,1000,140,1,140,1
42,4,30,1000,140,0.5,7,0
43,4,30,1000,140,0.75,7,0
44,4,30,1000,140,0.875,140,0.5
45,4,30,1000,140,1,140,1
46,4,30,1000,140,1,140,1
47,4,30,1000,140,0.5,7,0
48,4,30,1000,140,1,140,1
49,4,30,1000,140,1,140,1
50,4,30,1000,140,1,140,1
51,4,30,1000,140,1,140,1
52,4,30,1000,140,0.875,140,0.5
53,4,30,1000,140,1,140,1
54,4,30,1000,140,0.75,7,0
55,4,30,1000,140,1,140,1
56,4,30,1000,140,0.875,140,0.5
57,4,30,1000,140,1,140,1
58,4,30,1000,140,1,140,1
59,4,30,1000,140,1,140,1
60,4,30,1000,140,1,140,1
61,4,30,1000,140,1,140,1
62,4,30,1000,140,1,140,1
63,4,30,1000,140,1,140,1
64,4,30,1000,140,0.875,140,0.5
65,4,30,1000,140,1,140,1
66,4,30,1000,140,0.5,7,0
67,4,30,1000,140,1,140,1
68,4,30,1000,140,1,140,1
69,4,30,1000,140,1,140,1
70,4,30,1000,140,1,140,1
71,4,30,1000,140,1,140,1
72,4,30,1000,140,0.75,140,0.5
73,4,30,1000,140,1,140,1
74,4,30,1000,140,1,140,1
75,4,30,1000,140,0.875,140,0.5
76,4,30,1000,140,1,140,1
77,4,30,1000,140,1,140,1
78,4,30,1000,140,0.75,7,0
79,4,30,1000,140,1,140,1
80,4,30,1000,140,1,140,1
81,4,30,1000,140,1,140,1
82,4,30,1000,140,1,140,1
83,4,30,1000,140,0.875,140,0.5
84,4,30,1000,140,1,140,1
85,4,30,1000,140,1,140,1
86,4,30,1000,140,1,140,1
87,4,30,1000,140,1,140,1
88,4,30,1000,140,1,140,1
89,4,30,1000,140,1,140,1
90,4,30,1000,140,1,140,1
91,4,30,1000,140,1,140,1
92,4,30,1000,140,0.875,140,0.5
93,4,30,1000,140,0.875,140,0.5
94,4,30,1000,140,1,140,1
95,4,30,1000,140,1,140,1
96,4,30,1000,140,1,140,1
97,4,30,1000,140,0.75,140,0.5
98,4,30,1000,140,0.875,140,0.5
99,4,30,1000,140,1,140,1
100,4,30,1000,140,1,140,1
