Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,30,1000,112,0.8333333333333334,126,0.5
2,4,30,1000,84,0.6875,140,0.5
3,4,30,1000,63,0.65,140,1
4,4,30,1000,35,0.425,126,1
5,4,30,1000,63,0.6,7,0
6,4,30,1000,56,1,56,1
7,4,30,1000,63,0.85,91,1
8,4,30,1000,28,0.9230769230769231,35,0.9
9,4,30,1000,49,0.6071428571428571,112,1
10,4,30,1000,35,0.525,91,1
11,4,30,1000,42,0.5,98,1
12,4,30,1000,28,0.6923076923076923,49,0.8571428571428571
13,4,30,1000,84,0.625,126,0.5
14,4,30,1000,56,0.5833333333333334,126,1
15,4,30,1000,56,0.875,91,1
16,4,30,1000,21,0.5,56,0.8333333333333334
17,4,30,1000,119,0.75,126,0.5
18,4,30,1000,28,0.5961538461538461,56,0.8333333333333334
19,4,30,1000,42,0.875,49,0.8571428571428571
20,4,30,1000,77,0.6875,126,0.5
21,4,30,1000,112,0.5833333333333334,98,0.3333333333333333
22,4,30,1000,28,0.6346153846153846,56,0.6666666666666666
23,4,30,1000,63,0.9,84,1
24,4,30,1000,28,0.4423076923076923,70,0.8
25,4,30,1000,28,0.7884615384615384,42,0.875
26,4,30,1000,42,0.6875,77,1
27,4,30,1000,21,0.5735294117647058,42,0.875
28,4,30,1000,28,0.46153846153846156,63,0.8
29,4,30,1000,49,0.75,77,1
30,4,30,1000,98,0.5,7,0
31,4,30,1000,140,0.5,7,0
32,4,30,1000,56,0.4166666666666667,7,0
33,4,30,1000,28,0.6346153846153846,77,1
34,4,30,1000,77,0.9375,91,1
35,4,30,1000,28,0.6538461538461539,42,0.75
36,4,30,1000,28,0.46153846153846156,70,0.8
37,4,30,1000,35,0.4,91,1
38,4,30,1000,42,0.78125,77,1
39,4,30,1000,63,0.8,98,1
40,4,30,1000,42,0.53125,91,1
41,4,30,1000,35,0.8,49,1
42,4,30,1000,28,0.5961538461538461,56,1
43,4,30,1000,28,0.6538461538461539,56,1
44,4,30,1000,42,0.625,70,0.8
45,4,30,1000,70,0.85,84,1
46,4,30,1000,49,0.75,84,1
47,4,30,1000,35,0.5,98,1
48,4,30,1000,84,0.6875,126,0.5
49,4,30,1000,42,0.5,112,1
50,4,30,1000,28,0.8076923076923077,42,0.75
51,4,30,1000,56,0.8333333333333334,84,1
52,4,30,1000,42,0.375,140,0.5
53,4,30,1000,42,0.71875,77,1
54,4,30,1000,28,0.7307692307692307,42,0.875
55,4,30,1000,105,0.3333333333333333,7,0
56,4,30,1000,56,0.6666666666666666,84,0.75
57,4,30,1000,28,0.5384615384615384,91,1
58,4,30,1000,49,0.6785714285714286,98,1
59,4,30,1000,91,0.5,7,0
60,4,30,1000,56,0.625,84,0.5
61,4,30,1000,28,0.5576923076923077,77,1
62,4,30,1000,49,0.6071428571428571,98,1
63,4,30,1000,42,0.59375,98,1
64,4,30,1000,70,0.6,126,0.5
65,4,30,1000,42,0.65625,91,1
66,4,30,1000,56,0.75,84,1
67,4,30,1000,42,0.5,126,1
68,4,30,1000,14,0.4230769230769231,42,1
69,4,30,1000,42,0.9375,42,0.75
70,4,30,1000,56,0.875,70,1
71,4,30,1000,112,0.9166666666666666,140,1
72,4,30,1000,84,0.625,133,0.5
73,4,30,1000,49,0.8571428571428571,56,0.8333333333333334
74,4,30,1000,84,0.625,126,0.5
75,4,30,1000,42,0.71875,77,1
76,4,30,1000,35,0.525,84,1
77,4,30,1000,56,0.7916666666666666,84,1
78,4,30,1000,35,0.85,42,0.875
79,4,30,1000,56,0.6666666666666666,147,0.5
80,4,30,1000,56,0.75,84,0.75
81,4,30,1000,77,0.8125,77,0.75
82,4,30,1000,77,0.6875,105,0.6666666666666666
83,4,30,1000,42,0.6875,84,1
84,4,30,1000,14,0.41346153846153844,56,1
85,4,30,1000,14,0.40384615384615385,42,0.875
86,4,30,1000,42,0.375,126,0.5
87,4,30,1000,56,0.7083333333333334,105,1
88,4,30,1000,77,0.4375,7,0
89,4,30,1000,63,0.85,84,0.75
90,4,30,1000,77,0.625,112,0.3333333333333333
91,4,30,1000,77,0.875,77,0.75
92,4,30,1000,28,0.4807692307692308,56,0.6666666666666666
93,4,30,1000,63,0.65,126,0.5
94,4,30,1000,49,0.5357142857142857,98,1
95,4,30,1000,35,0.35,105,0.6666666666666666
96,4,30,1000,35,0.375,7,0
97,4,30,1000,49,0.35714285714285715,140,0.5
98,4,30,1000,56,0.5,133,0.5
99,4,30,1000,56,0.5833333333333334,126,1
100,4,30,1000,70,0.95,70,0.8
