Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,5,1000,7,0.47596153846153844,21,0.7647058823529411
2,4,5,1000,35,0.575,70,1
3,4,5,1000,7,0.8798076923076923,7,0.6153846153846154
4,4,5,1000,7,0.9615384615384616,7,0.8461538461538461
5,4,5,1000,35,0.75,35,0.5
6,4,5,1000,35,0.625,70,1
7,4,5,1000,7,0.6586538461538461,14,0.7692307692307693
8,4,5,1000,7,0.25,35,0.5
9,4,5,1000,14,0.7788461538461539,21,0.7058823529411765
10,4,5,1000,7,0.375,35,0.8
11,4,5,1000,70,1,70,1
12,4,5,1000,7,0.7019230769230769,14,0.6538461538461539
13,4,5,1000,21,0.35294117647058826,70,1
14,4,5,1000,28,0.6346153846153846,49,1
15,4,5,1000,21,0.39705882352941174,70,1
16,4,5,1000,7,0.875,7,0.5576923076923077
17,4,5,1000,14,0.625,28,0.6923076923076923
18,4,5,1000,7,0.7596153846153846,14,0.9230769230769231
19,4,5,1000,14,0.7211538461538461,21,0.6470588235294118
20,4,5,1000,7,0.2980769230769231,35,0.8
21,4,5,1000,28,0.5,70,1
22,4,5,1000,7,0.7067307692307693,14,0.8076923076923077
23,4,5,1000,21,0.6617647058823529,35,0.7
24,4,5,1000,21,0.47058823529411764,70,1
25,4,5,1000,7,0.7980769230769231,14,0.9615384615384616
26,4,5,1000,35,0.5,35,0.5
27,4,5,1000,14,0.6826923076923077,28,0.8461538461538461
28,4,5,1000,7,0.5048076923076923,35,0.9
29,4,5,1000,7,0.8076923076923077,14,0.8461538461538461
30,4,5,1000,7,0.3894230769230769,28,0.6153846153846154
31,4,5,1000,7,0.375,21,0.7647058823529411
32,4,5,1000,14,0.49038461538461536,35,0.9
33,4,5,1000,35,0.55,35,0.5
34,4,5,1000,35,0.75,56,0.8333333333333334
35,4,5,1000,21,0.7058823529411765,42,1
36,4,5,1000,7,0.6201923076923077,14,0.6153846153846154
37,4,5,1000,7,0.6201923076923077,14,0.6923076923076923
38,4,5,1000,7,0.7163461538461539,14,0.6153846153846154
39,4,5,1000,35,0.55,70,1
40,4,5,1000,7,0.5913461538461539,21,0.8823529411764706
41,4,5,1000,70,1,70,1
42,4,5,1000,7,0.8269230769230769,14,1
43,4,5,1000,35,0.925,35,0.8
44,4,5,1000,35,0.55,35,0.5
45,4,5,1000,7,0.39903846153846156,28,0.7692307692307693
46,4,5,1000,21,0.3235294117647059,35,0.5
47,4,5,1000,35,0.5,35,0.5
48,4,5,1000,7,0.9903846153846154,7,0.9615384615384616
49,4,5,1000,7,0.8076923076923077,14,0.9230769230769231
50,4,5,1000,7,0.6298076923076923,14,0.9230769230769231
51,4,5,1000,14,0.5288461538461539,35,0.7
52,4,5,1000,14,0.8461538461538461,28,1
53,4,5,1000,7,0.9807692307692307,7,0.9230769230769231
54,4,5,1000,14,0.4326923076923077,42,1
55,4,5,1000,7,0.6586538461538461,14,0.7307692307692307
56,4,5,1000,7,0.6105769230769231,14,0.6153846153846154
57,4,5,1000,42,0.84375,49,0.8571428571428571
58,4,5,1000,7,0.49038461538461536,35,1
59,4,5,1000,28,0.5769230769230769,70,1
60,4,5,1000,7,0.30288461538461536,49,0.8571428571428571
61,4,5,1000,7,0.8269230769230769,7,0.46153846153846156
62,4,5,1000,28,0.4230769230769231,70,1
63,4,5,1000,35,0.6,70,1
64,4,5,1000,7,0.6778846153846154,14,0.8846153846153846
65,4,5,1000,28,0.5769230769230769,56,0.8333333333333334
66,4,5,1000,21,0.45588235294117646,63,1
67,4,5,1000,14,0.7211538461538461,21,0.5882352941176471
68,4,5,1000,7,0.9615384615384616,7,0.8461538461538461
69,4,5,1000,21,0.35294117647058826,35,0.5
70,4,5,1000,21,0.36764705882352944,70,1
71,4,5,1000,7,0.5336538461538461,21,0.6470588235294118
72,4,5,1000,7,0.6346153846153846,21,0.8823529411764706
73,4,5,1000,7,0.8028846153846154,14,0.9615384615384616
74,4,5,1000,7,0.4182692307692308,35,0.8
75,4,5,1000,70,1,70,1
76,4,5,1000,7,0.4567307692307692,21,0.7058823529411765
77,4,5,1000,21,0.8088235294117647,42,1
78,4,5,1000,7,0.5480769230769231,21,0.9411764705882353
79,4,5,1000,7,0.5480769230769231,21,0.8823529411764706
80,4,5,1000,35,0.575,35,0.5
81,4,5,1000,7,0.6394230769230769,21,0.9411764705882353
82,4,5,1000,35,0.5,35,0.5
83,4,5,1000,7,0.7451923076923077,14,0.9615384615384616
84,4,5,1000,7,0.9038461538461539,7,0.6923076923076923
85,4,5,1000,35,0.5,35,0.5
86,4,5,1000,14,0.5576923076923077,42,1
87,4,5,1000,14,0.5192307692307693,35,0.9
88,4,5,1000,7,0.49038461538461536,21,0.8235294117647058
89,4,5,1000,7,0.75,14,0.7692307692307693
90,4,5,1000,35,0.65,70,1
91,4,5,1000,35,0.5,35,0.5
92,4,5,1000,7,0.2403846153846154,42,0.75
93,4,5,1000,28,0.6346153846153846,70,1
94,4,5,1000,21,0.39705882352941174,70,1
95,4,5,1000,35,0.725,70,1
96,4,5,1000,14,0.5480769230769231,35,0.9
97,4,5,1000,7,0.8317307692307693,7,0.5192307692307693
98,4,5,1000,21,0.5147058823529411,35,0.5
99,4,5,1000,21,0.4117647058823529,35,0.5
100,4,5,1000,21,0.6911764705882353,28,0.6923076923076923
