Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,5,5000,7,0.7932692307692307,14,0.9615384615384616
2,4,5,5000,7,0.9326923076923077,7,0.7307692307692307
3,4,5,5000,7,1,7,1
4,4,5,5000,7,1,7,1
5,4,5,5000,7,0.7788461538461539,14,0.9230769230769231
6,4,5,5000,7,1,7,1
7,4,5,5000,7,0.32211538461538464,56,1
8,4,5,5000,14,0.5673076923076923,35,0.9
9,4,5,5000,7,0.9086538461538461,7,0.6538461538461539
10,4,5,5000,21,0.4411764705882353,35,0.5
11,4,5,5000,7,0.9567307692307693,7,0.8461538461538461
12,4,5,5000,7,1,7,1
13,4,5,5000,7,0.8605769230769231,7,0.5384615384615384
14,4,5,5000,7,0.7211538461538461,14,0.7307692307692307
15,4,5,5000,7,0.9951923076923077,7,0.9807692307692307
16,4,5,5000,7,0.9182692307692307,7,0.7115384615384616
17,4,5,5000,7,1,7,1
18,4,5,5000,7,1,7,1
19,4,5,5000,7,0.9903846153846154,7,0.9615384615384616
20,4,5,5000,7,0.8894230769230769,7,0.6730769230769231
21,4,5,5000,7,1,7,1
22,4,5,5000,7,1,7,1
23,4,5,5000,7,0.5,21,0.7058823529411765
24,4,5,5000,21,0.45588235294117646,63,1
25,4,5,5000,7,0.9807692307692307,7,0.9230769230769231
26,4,5,5000,7,0.9038461538461539,7,0.7115384615384616
27,4,5,5000,7,0.9951923076923077,7,0.9807692307692307
28,4,5,5000,7,0.4807692307692308,28,1
29,4,5,5000,7,0.5817307692307693,28,0.9230769230769231
30,4,5,5000,7,1,7,1
31,4,5,5000,7,0.9711538461538461,7,0.9038461538461539
32,4,5,5000,7,1,7,1
33,4,5,5000,35,0.725,42,0.625
34,4,5,5000,7,0.7692307692307693,14,0.8461538461538461
35,4,5,5000,7,0.7019230769230769,14,0.8461538461538461
36,4,5,5000,7,0.9951923076923077,7,0.9807692307692307
37,4,5,5000,7,0.9663461538461539,7,0.8846153846153846
38,4,5,5000,21,0.4411764705882353,49,0.7142857142857143
39,4,5,5000,7,0.47596153846153844,21,0.7058823529411765
40,4,5,5000,14,0.6826923076923077,35,0.9
41,4,5,5000,7,0.8557692307692307,7,0.5384615384615384
42,4,5,5000,7,0.9615384615384616,7,0.8461538461538461
43,4,5,5000,7,0.9951923076923077,7,0.9807692307692307
44,4,5,5000,7,0.8509615384615384,7,0.5384615384615384
45,4,5,5000,7,1,7,1
46,4,5,5000,7,0.9903846153846154,7,0.9615384615384616
47,4,5,5000,7,1,7,1
48,4,5,5000,7,0.9759615384615384,7,0.9038461538461539
49,4,5,5000,7,0.44711538461538464,21,0.7647058823529411
50,4,5,5000,7,1,7,1
51,4,5,5000,7,1,7,1
52,4,5,5000,7,0.40384615384615385,21,0.7058823529411765
53,4,5,5000,28,0.5384615384615384,70,1
54,4,5,5000,7,0.9903846153846154,7,0.9615384615384616
55,4,5,5000,7,0.9471153846153846,7,0.7884615384615384
56,4,5,5000,21,0.5588235294117647,49,0.8571428571428571
57,4,5,5000,14,0.5384615384615384,35,0.8
58,4,5,5000,7,0.9278846153846154,7,0.7307692307692307
59,4,5,5000,7,0.6634615384615384,14,0.6153846153846154
60,4,5,5000,7,1,7,1
61,4,5,5000,7,0.9903846153846154,7,0.9615384615384616
62,4,5,5000,7,0.7115384615384616,14,0.7692307692307693
63,4,5,5000,7,0.8557692307692307,7,0.5192307692307693
64,4,5,5000,7,0.6057692307692307,14,0.6923076923076923
65,4,5,5000,7,1,7,1
66,4,5,5000,7,0.4807692307692308,28,0.9230769230769231
67,4,5,5000,7,0.9951923076923077,7,0.9807692307692307
68,4,5,5000,7,0.8125,7,0.46153846153846156
69,4,5,5000,35,0.5,35,0.5
70,4,5,5000,7,0.5048076923076923,21,0.6470588235294118
71,4,5,5000,7,0.8557692307692307,7,0.5384615384615384
72,4,5,5000,35,0.55,70,1
73,4,5,5000,7,0.8894230769230769,7,0.6538461538461539
74,4,5,5000,7,0.9086538461538461,7,0.7115384615384616
75,4,5,5000,7,0.7788461538461539,14,0.8846153846153846
76,4,5,5000,7,1,7,1
77,4,5,5000,7,0.3557692307692308,35,0.7
78,4,5,5000,7,0.36538461538461536,21,0.6470588235294118
79,4,5,5000,7,1,7,1
80,4,5,5000,7,1,7,1
81,4,5,5000,7,1,7,1
82,4,5,5000,7,1,7,1
83,4,5,5000,7,1,7,1
84,4,5,5000,7,0.9759615384615384,7,0.9038461538461539
85,4,5,5000,7,0.4951923076923077,28,1
86,4,5,5000,7,0.7259615384615384,14,0.9230769230769231
87,4,5,5000,35,0.5,35,0.5
88,4,5,5000,7,0.5961538461538461,21,0.7647058823529411
89,4,5,5000,7,0.9375,7,0.8269230769230769
90,4,5,5000,7,0.7884615384615384,14,0.8076923076923077
91,4,5,5000,7,0.5288461538461539,21,0.8235294117647058
92,4,5,5000,7,0.9855769230769231,7,0.9423076923076923
93,4,5,5000,7,0.6634615384615384,14,0.6923076923076923
94,4,5,5000,7,0.8413461538461539,7,0.5192307692307693
95,4,5,5000,7,0.4375,21,0.6470588235294118
96,4,5,5000,14,0.34615384615384615,35,0.5
97,4,5,5000,7,1,7,1
98,4,5,5000,7,0.7932692307692307,7,0.5
99,4,5,5000,7,0.9326923076923077,7,0.75
100,4,5,5000,21,0.6176470588235294,42,0.75
